object	size_bytes	modified_ts	note
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/store_generation	4	2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/tmp.Cab		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/tmp.Lion		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/tmp.SnowLeopard		2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/tmp.spotlight.loc	239971	2022-06-01 02:48:32	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/tmp.spotlight.state	4096	2024-11-21 23:40:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/VolumeConfiguration.plist	4009	2022-04-11 22:34:01	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems/		2020-10-15 21:19:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems/folders.0/		2020-10-15 21:19:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems/folders.0/TemporaryItems/		2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Trashes/		2022-03-31 18:21:15	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.com.apple.timemachine.donotpresent		2020-10-26 13:18:59	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.fseventsd/		2022-06-01 08:05:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.fseventsd/ffffffffd0400b31	234	2022-06-01 08:05:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.fseventsd/ffffffffd0400b32	74	2022-06-01 08:05:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.fseventsd/fseventsd-uuid	36	2022-06-01 08:05:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.journal	41943040	2019-09-27 01:59:03	HFS+ journal
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.journal_info_block	4096	2019-09-27 01:59:02	HFS+ journal info block
